titulo,nota,votos_avaliacao,foto-src
The Beatles Anthology,9.1,"9,1 mil","https://m.media-amazon.com/images/M/MV5BMzFkZTRlNjktYWVkNS00NTZjLTgxOTMtMjA4NWUxNGYwYjY2XkEyXkFqcGdeQXVyMTQxNzE3ODA3._V1_QL75_UX190_CR0,2,190,281_.jpg"
Sherlock,9.1,912 mil,"https://m.media-amazon.com/images/M/MV5BMWY3NTljMjEtYzRiMi00NWM2LTkzNjItZTVmZjE0MTdjMjJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTQ4NTc5OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
Hot Spots 2012,9.1,11,
West Wing: Nos Bastidores do Poder,8.9,75 mil,"https://m.media-amazon.com/images/M/MV5BMzNhNDc1YjktMGJhMC00YWMwLWIyODctYWEzNDNmZWVlYTc1XkEyXkFqcGdeQXVyMTAyOTE2ODg0._V1_QL75_UY281_CR4,0,190,281_.jpg"
Friends,8.9,977 mil,"https://m.media-amazon.com/images/M/MV5BOWI1Y2QzYjUtNGNkMC00ZGFlLWIzODEtY2Y5NzE5ODQ1ZTExXkEyXkFqcGdeQXVyMTgxOTIzNzk@._V1_QL75_UY281_CR5,0,190,281_.jpg"
Ted Lasso,8.8,197 mil,"https://m.media-amazon.com/images/M/MV5BMDVmODUzNmEtMGMxZC00NWUzLTkxMTAtMDM5OTQzMWE0ZDM3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
The Carol Burnett Show,8.7,"6,4 mil","https://m.media-amazon.com/images/M/MV5BY2JiNDkzNWUtMWNmNy00MjNhLTk5MzYtYjcyNDY5MmMzNDlhXkEyXkFqcGdeQXVyMTk0MjQ3Nzk@._V1_QL75_UY281_CR11,0,190,281_.jpg"
BuzzFeed Unsolved: Supernatural,8.7,"1,5 mil","https://m.media-amazon.com/images/M/MV5BOGY5NTAwMWUtOGJlYS00YmYwLWFlOTMtNzNjZDdlYjBiN2FjXkEyXkFqcGdeQXVyOTc1MTAwNTM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
QI,8.6,32 mil,"https://m.media-amazon.com/images/M/MV5BMjgyYWUxNGMtMGMwZi00OWIyLTkwN2ItOWYyYWUxYzcyNzUwXkEyXkFqcGdeQXVyNjg0NTcxMTg@._V1_QL75_UX190_CR0,2,190,281_.jpg"
Ambulance,8.5,374,"https://m.media-amazon.com/images/M/MV5BZmVmY2ZjMjAtM2Q1YS00OWUxLWE1OGUtMWJiYjcwZTI1Yjc5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTg2NzkzNjk@._V1_QL75_UY281_CR9,0,190,281_.jpg"
