web-scraper-order,web-scraper-start-url,titulo,ano,generos,avaliacao,votos,resumo,link,link-href,tipo,imagem-src
"1662683660-857","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","The Professor's Scary Movie Show","(2015– )","Animation, Action, Adventure","null","null","The Professor in presenting the right royal 1966 movie ""The She Beast"" and the 1912 movie ""Dr. Jekyll and Mr Hyde""; screened by Chuck, the Projectionist.","The Professor's Scary Movie Show","https://www.imdb.com/title/tt5162512/?ref_=adv_li_tt","Série de TV","https://m.media-amazon.com/images/M/MV5BOGE5Zjg2ODEtZDI4Yy00YTJjLWFkNTUtMDczYTNhZjMzZDRlXkEyXkFqcGdeQXVyMzI2MDEwNA@@._V1_QL75_UY281_CR57,0,190,281_.jpg"
"1662683665-858","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Sam Delaney's News Thing","(2015–2018)","Comedy, News, Talk-Show","null","null","Sam asks how we can end the tyrannical reign of Queen Elizabeth II, Ann Widdecombe tells Obama to butt out of the Brexit debate and Bobby Mair looks at the glamorous world of poverty ...                See full summary »","Sam Delaney's News Thing","https://www.imdb.com/title/tt5448466/?ref_=adv_li_tt","Série de TV","https://m.media-amazon.com/images/M/MV5BYWM3MTc5ODYtZjNjZi00ZTQyLThjODgtZTU5MmEwZDBjM2E2XkEyXkFqcGdeQXVyMjgyNjU0NA@@._V1_QL75_UY281_CR116,0,190,281_.jpg"
"1662683669-859","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Another Country","(1992)","Drama","null","null","Queen Elizabeth II is coming to visit, but that is only of the many events that are happening; Miles is dealing with his eccentric family and a crush on his cousin.","Another Country","https://www.imdb.com/title/tt6705284/?ref_=adv_li_tt","Série de TV","null"
"1662683673-860","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Royal Stories","(2016– )","Documentary","null","null","Queen Elizabeth II is the world's oldest monarch and Britain's longest serving Queen. As she approaches her 90th birthday, this episode explores the secret of the woman who never expected ...                See full summary »","Royal Stories","https://www.imdb.com/title/tt5645614/?ref_=adv_li_tt","Série de TV","https://m.media-amazon.com/images/M/MV5BYjk1OTI3ODEtYTRiMy00YTE4LWIyNDgtMjY1YTkyMTMwNzA1XkEyXkFqcGdeQXVyNjU3MTgzMzM@._V1_QL75_UY281_CR155,0,190,281_.jpg"
"1662683677-861","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","In Their Own Words","(2015– )","Biography","7,8","28","Journey into the six decade reign of one of the world's most influential women. Follow Queen Elizabeth II's remarkable life, from her youth--when few expected she'd ever wear the crown--to ...                See full summary »","In Their Own Words","https://www.imdb.com/title/tt4642954/?ref_=adv_li_tt","Série de TV","https://m.media-amazon.com/images/M/MV5BNGQ3YjFkNDYtNzdlYy00MTkzLWEyNjItNTg5MWY0ZTdmNzkyXkEyXkFqcGdeQXVyMTMwMTg1ODQw._V1_QL75_UX190_CR0,2,190,281_.jpg"
"1662683681-862","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Astro Royal","(2000– )","News","null","null","Princess Catherine Duchess of Cambridge, and her husband, Prince William, the Duke of Cambridge, happily welcomed a little Princess to the Royal Family of England. She is the young sister ...                See full summary »","Astro Royal","https://www.imdb.com/title/tt4605222/?ref_=adv_li_tt","Série de TV","https://m.media-amazon.com/images/M/MV5BMjEzNjU2ODg2N15BMl5BanBnXkFtZTgwMjE4NDY3NzE@._V1_QL75_UY281_CR13,0,190,281_.jpg"
"1662683686-863","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Paddington Bear","(1989–1990)","Animation","null","null","Paddington visits the Royal muse, gets into a royal coach and meets Queen Elizabeth II. Unfortunately he is arrested at the Tower of London and after some other troubles, he successfully makes it in time for sandwiches with the Queen.","Paddington Bear","https://www.imdb.com/title/tt1814277/?ref_=adv_li_tt","Série de TV","https://m.media-amazon.com/images/M/MV5BMjNjZTE5YmUtODg3NS00YTdjLThjNTUtOThiNThiZGIwMjQzXkEyXkFqcGdeQXVyMTgxOTIzNzk@._V1_QL75_UX190_CR0,14,190,281_.jpg"
"1662683690-864","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","History by the Numbers","(2021– )","History","null","null","QUEENS FOR LIFE - Victoria and Elizabeth II: in the last 200 years, 2 women have sat on the British throne for two-thirds of the time - find out what it takes to be a royal success in an ever-changing world.","History by the Numbers","https://www.imdb.com/title/tt19760072/?ref_=adv_li_tt","Série de TV","https://m.media-amazon.com/images/M/MV5BOWY1OGFmYjYtNTBjNC00NmMwLWE4Y2MtNTA5Y2U1NGE3Yjg5XkEyXkFqcGdeQXVyNTUwNDAxNzc@._V1_QL75_UY281_CR155,0,190,281_.jpg"
"1662683694-865","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","QAnon Anonymous","(2018– )","Documentary","null","null","Meet Romana Didulo, who has convinced a portion of QAnon followers that she's the secret queen of Canada and has already executed Elizabeth II.","QAnon Anonymous","https://www.imdb.com/title/tt21377716/?ref_=adv_li_tt","Série Podcast","https://m.media-amazon.com/images/M/MV5BMjJkZmJjYmQtOThiZS00MzIwLTkyYjYtZTllOTFhNGYyMDE3XkEyXkFqcGdeQXVyNTk4MTc5MzE@._V1_QL75_UX190_CR0,0,190,190_.jpg"
"1662683698-866","https://www.imdb.com/search/title/?title=%22Queen%22&plot=%22Elizabeth+II%22&count=250","Smashhdown!: Search for The G.O.A.T","(2021– )","Game-Show","null","null","It's Leaders Week and we have two of humanity's most magnificent monarchs in the stadium today. Who will swing the scepter of victory - Queen Elizabeth II or Empress Wu Zetian?","Smashhdown!: Search for The G.O.A.T","https://www.imdb.com/title/tt15464470/?ref_=adv_li_tt","Série de TV","https://m.media-amazon.com/images/M/MV5BN2VkZjg3ODUtNDk3NC00OWMzLWIwNWMtZWZlODFmY2ZkZWIwXkEyXkFqcGdeQXVyMjQyNDU2MjA@._V1_QL75_UY281_CR5,0,190,281_.jpg"
