web-scraper-order,web-scraper-start-url,numero,titulo,ano,estrelas,resumo,votos,link,link-href,nota,total,votos_avaliacao,foto-src,generos
"1662748287-13","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=6&sort=moviemeter,asc","291.","Creation Today","(2011– )","null","Add a Plot","null","Creation Today","https://www.imdb.com/title/tt3017190/?ref_=kw_li_tt","3,4","/10","34","https://m.media-amazon.com/images/M/MV5BNzczNGY4ZjUtZWJiNC00ZDg0LWEwOGItYTY3YWFlNDBmMzljXkEyXkFqcGdeQXVyMDQwNzMzMQ@@._V1_QL75_UY281_CR447,0,190,281_.jpg","Talk-Show"
"1662748290-14","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=6&sort=moviemeter,asc","290.","Pastor Mike Online","(2011– )","null","Add a Plot","null","Pastor Mike Online","https://www.imdb.com/title/tt3016990/?ref_=kw_li_tt","3,4","/10","28","https://m.media-amazon.com/images/M/MV5BMDE2NDExZWItMGViOC00OTVjLTlmY2ItN2I2YmEyOTE3YzQzXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_QL75_UY281_CR114,0,190,281_.jpg","News, Talk-Show"
"1662748297-15","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=6&sort=moviemeter,asc","289.","NBC Sunday Night Football","(2006– )","6,9","Add a Plot","null","NBC Sunday Night Football","https://www.imdb.com/title/tt0905590/?ref_=kw_li_tt","8,0","/10","1,2 mil","https://m.media-amazon.com/images/M/MV5BMTMzMjEyMTYzOV5BMl5BanBnXkFtZTcwMjkxMDg4MQ@@._V1_QL75_UY281_CR0,0,190,281_.jpg","Sport"
"1662748301-16","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=6&sort=moviemeter,asc","288.","En direct de...","(1956–1974)","null","Add a Plot","null","En direct de...","https://www.imdb.com/title/tt6215190/?ref_=kw_li_tt","","","","null","Documentary"
"1662748304-17","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=6&sort=moviemeter,asc","285.","The Watchman Video Broadcast with Pastor Michael Hoggard","(2009– )","null","Add a Plot","null","The Watchman Video Broadcast with Pastor Michael Hoggard","https://www.imdb.com/title/tt2910116/?ref_=kw_li_tt","4,3","/10","14","https://m.media-amazon.com/images/M/MV5BOThlMDM2NzEtOTRmZS00MTZkLWE1MzQtODQ1ZGJiNDkwZWE1XkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_QL75_UY281_CR114,0,190,281_.jpg","News"
"1662748309-18","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=6&sort=moviemeter,asc","284.","BuzzFeed Unsolved: Supernatural","(2016– )","6,8","Ryan and Shane discuss the possible existence of the secret group Illuminati.","null","BuzzFeed Unsolved: Supernatural","https://www.imdb.com/title/tt6723522/?ref_=kw_li_tt","8,7","/10","1,5 mil","https://m.media-amazon.com/images/M/MV5BOGY5NTAwMWUtOGJlYS00YmYwLWFlOTMtNzNjZDdlYjBiN2FjXkEyXkFqcGdeQXVyOTc1MTAwNTM@._V1_QL75_UX190_CR0,0,190,281_.jpg","Adventure, Comedy, Horror"
"1662748313-19","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=6&sort=moviemeter,asc","283.","RuPaul's Drag Race UK","(2019– )","8,1","As 10 amazing UK drag queens enter the werk room for the first time the main stage lights up with them serving two royal looks for guest judge Andrew Garfield.","null","RuPaul's Drag Race UK","https://www.imdb.com/title/tt9780442/?ref_=kw_li_tt","8,4","/10","3,9 mil","https://m.media-amazon.com/images/M/MV5BMGNjYjg4OTYtYmU3Yy00MmJhLWJkY2EtOGJmMmVlNzhlNzlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR1,0,190,281_.jpg","Game-Show, Reality-TV"
"1662748317-20","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=6&sort=moviemeter,asc","282.","Friends","(1994–2004)","8,1","Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.","null","Friends","https://www.imdb.com/title/tt0108778/?ref_=kw_li_tt","8,9","/10","977 mil","https://m.media-amazon.com/images/M/MV5BOWI1Y2QzYjUtNGNkMC00ZGFlLWIzODEtY2Y5NzE5ODQ1ZTExXkEyXkFqcGdeQXVyMTgxOTIzNzk@._V1_QL75_UY281_CR5,0,190,281_.jpg","Comedy, Romance"
"1662748322-21","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=6&sort=moviemeter,asc","281.","Sherlock","(2010–2017)","9,1","Sherlock goes up against the powerful and seemingly unassailable Culverton Smith - a man with a very dark secret indeed.","null","Sherlock","https://www.imdb.com/title/tt1475582/?ref_=kw_li_tt","9,1","/10","912 mil","https://m.media-amazon.com/images/M/MV5BMWY3NTljMjEtYzRiMi00NWM2LTkzNjItZTVmZjE0MTdjMjJhL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTQ4NTc5OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg","Crime, Drama, Mystery"
"1662748326-22","https://www.imdb.com/search/keyword/?keywords=reference-to-queen-elizabeth-ii&ref_=kw_nxt&mode=detail&page=6&sort=moviemeter,asc","280.","French and Saunders","(1987–2017)","8,7","Dawn French and Jennifer Saunders pay their own comic tribute to the popular drama serial The House of Eliott and former Top of the Pops dance group Pan's People, and discuss minor members of the Royal family.","null","French and Saunders","https://www.imdb.com/title/tt0092355/?ref_=kw_li_tt","7,6","/10","3,5 mil","https://m.media-amazon.com/images/M/MV5BMDgyYzBkZDEtNTU3OC00Y2NmLWI2N2QtZWI4OTkyMzI3OTVhXkEyXkFqcGdeQXVyNjc4NTExMTk@._V1_QL75_UY281_CR1,0,190,281_.jpg","Comedy"
